TypeNS,TypeName,Definition,ContentStyle,SimpleQualifiedType,ParentQualifiedType,IsMetadata,IsAdapter,IsAugmentation,Keywords,ExampleContent,UsageInfo,QualifiedType
it,AddressAugmentationType,A data type for additional information about an address.,CCC,,,FALSE,FALSE,TRUE,,,,it:AddressAugmentationType
scr,AddressAugmentationType,A data type for additional information about an address.,CCC,,,FALSE,FALSE,TRUE,,,,scr:AddressAugmentationType
scr,AddressCategoryCodeSimpleType,A data type describing the kinds of Address types,S,scr:AddressCategoryCodeType,,FALSE,FALSE,FALSE,,,,scr:AddressCategoryCodeSimpleType
scr,AddressCategoryCodeType,A data type describing the kinds of Address types,CSC,,,FALSE,FALSE,FALSE,,,,scr:AddressCategoryCodeType
scr,AddressClassificationType,A data type for classification of an ADDRESS,CCC,,,FALSE,FALSE,FALSE,,,,scr:AddressClassificationType
nc,AddressGridType,A data type for a location identified by a unit of a grid system overlaid on an area.,CCC,,,FALSE,FALSE,FALSE,,,"May be used to denote the area of jurisdiction of an agency, such as a law enforcement or emergency response agency.",nc:AddressGridType
nc,AddressType,A data type for a geophysical location described by postal information.,CCC,,,FALSE,FALSE,FALSE,,,,nc:AddressType
cyfs,AdoptingParentRelationshipCategoryCodeSimpleType,A data type for describing the relationship of an adopting parent.,S,cyfs:AdoptingParentRelationshipCategoryCodeType,,FALSE,FALSE,FALSE,,,,cyfs:AdoptingParentRelationshipCategoryCodeSimpleType
cyfs,AdoptingParentRelationshipCategoryCodeType,A data type for describing the relationship of an adopting parent.,CSC,,,FALSE,FALSE,FALSE,,,,cyfs:AdoptingParentRelationshipCategoryCodeType
cyfs,AdoptiveFamilyAssociationType,A data type for an association between family members in an adoptive family.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,cyfs:AdoptiveFamilyAssociationType
cyfs,AdoptiveParentChildAssociationType,A data type for an association between a child and a parent who adopted the child.,CCC,,cyfs:ParentChildAssociationType,FALSE,FALSE,FALSE,,,,cyfs:AdoptiveParentChildAssociationType
cyfs,AFCARSPermanencyGoalCodeSimpleType,"A data type for a list of case plan goals for permanency defined for the Adoption and Foster Care Analysis Reporting System in 45 CFR 1355, Appendix A, roman numeral VI.",S,cyfs:AFCARSPermanencyGoalCodeType,,FALSE,FALSE,FALSE,,,,cyfs:AFCARSPermanencyGoalCodeSimpleType
cyfs,AFCARSPermanencyGoalCodeType,"A data type for a list of case plan goals for permanency defined for the Adoption and Foster Care Analysis Reporting System in 45 CFR 1355, Appendix A, roman numeral VI.",CSC,,,FALSE,FALSE,FALSE,,,,cyfs:AFCARSPermanencyGoalCodeType
nlets,AgencyAuthorizationCodeSimpleType,A data type for an agency's access category to data.,S,nlets:AgencyAuthorizationCodeType,,FALSE,FALSE,FALSE,,,,nlets:AgencyAuthorizationCodeSimpleType
nlets,AgencyAuthorizationCodeType,A data type for an agency's access category to data.,CSC,,,FALSE,FALSE,FALSE,,,,nlets:AgencyAuthorizationCodeType
intel,AgencyInterestCategoryType,A data type for a groupings of persons by the reason they are of interest to intelligence.,CCC,,,FALSE,FALSE,FALSE,,,,intel:AgencyInterestCategoryType
intel,AgencyInterestOtherCategoryType,A data type for a details that describe an additional person-categorization system that groups of people by the reason they are of interest to intelligence.,CCC,,,FALSE,FALSE,FALSE,,,,intel:AgencyInterestOtherCategoryType
nlets,AgencyServiceHoursCodeSimpleType,A data type for the availability of an agency.,S,nlets:AgencyServiceHoursCodeType,,FALSE,FALSE,FALSE,,,,nlets:AgencyServiceHoursCodeSimpleType
nlets,AgencyServiceHoursCodeType,A data type for the availability of an agency.,CSC,,,FALSE,FALSE,FALSE,,,,nlets:AgencyServiceHoursCodeType
intel,AgencySubjectHandlingType,A data type for actions to take on contact with the person.,CCC,,,FALSE,FALSE,FALSE,,,,intel:AgencySubjectHandlingType
intel,AgencySubjectInterestType,A data type for a detailed description of why an agency placed the person in its repository or why the data on the person is being exchanged.,CCC,,,FALSE,FALSE,FALSE,,,,intel:AgencySubjectInterestType
scr,AgentAssociationType,A data type for a relationship between a Person and a Person Role,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,scr:AgentAssociationType
it,AgentType,"A data type for a party authorized to act on behalf of another person, organization or thing.",CCC,,,FALSE,FALSE,FALSE,,,,it:AgentType
ndex,AggravatedAssaultCircumstanceNDExCodeSimpleType,"A data type for a code that describes the circumstances of either an aggravated assault or homicide. Includes all NIBRS codes, plus additional codes.",S,ndex:AggravatedAssaultCircumstanceNDExCodeType,,FALSE,FALSE,FALSE,,,,ndex:AggravatedAssaultCircumstanceNDExCodeSimpleType
ndex,AggravatedAssaultCircumstanceNDExCodeType,"A data type for a code that describes the circumstances of either an aggravated assault or homicide. Includes all NIBRS codes, plus additional codes.",CSC,,,FALSE,FALSE,FALSE,,,,ndex:AggravatedAssaultCircumstanceNDExCodeType
ucr,AggravatedAssaultHomicideFactorsCodeSimpleType,A data type for circumstances of either an aggravated assault or homicide.,S,ucr:AggravatedAssaultHomicideFactorsCodeType,,FALSE,FALSE,FALSE,,,,ucr:AggravatedAssaultHomicideFactorsCodeSimpleType
ucr,AggravatedAssaultHomicideFactorsCodeType,A data type for circumstances of either an aggravated assault or homicide.,CSC,,,FALSE,FALSE,FALSE,,,,ucr:AggravatedAssaultHomicideFactorsCodeType
scr,AircraftFlightPlanSummaryAssociationType,"A data type for an association between a flight plan summary, an aircraft, and a carrier.",CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,scr:AircraftFlightPlanSummaryAssociationType
nc,AircraftType,A data type for a mode of transportation capable of flying in the air.,CCC,,nc:ConveyanceType,FALSE,FALSE,FALSE,"plane, airplane, helicopter, jet, drone, glider, unmanned aircraft, UAV",,,nc:AircraftType
nc,AirportType,A data type for an airport facility.,CCC,,nc:FacilityType,FALSE,FALSE,FALSE,,,,nc:AirportType
em,AlarmAudibleDescriptionCodeSimpleType,A data type code indicating whether the alarm is audible or silent.,S,em:AlarmAudibleDescriptionCodeType,,FALSE,FALSE,FALSE,,,,em:AlarmAudibleDescriptionCodeSimpleType
em,AlarmAudibleDescriptionCodeType,A data type code indicating whether the alarm is audible or silent.,CSC,,,FALSE,FALSE,FALSE,,,,em:AlarmAudibleDescriptionCodeType
em,AlarmConfirmationType,A data type for the container for information related to the confirmation of an alarm.,CCC,,,FALSE,FALSE,FALSE,,,,em:AlarmConfirmationType
apco,AlarmEventCategoryCodeSimpleType,A data type for kinds of alarm events.,S,apco:AlarmEventCategoryCodeType,,FALSE,FALSE,FALSE,,,,apco:AlarmEventCategoryCodeSimpleType
apco,AlarmEventCategoryCodeType,A data type for kinds of alarm events.,CSC,,,FALSE,FALSE,FALSE,,,,apco:AlarmEventCategoryCodeType
apco,AlarmEventLocationCategoryCodeSimpleType,A data type for the kinds of location at which an alarm event occurs.,S,apco:AlarmEventLocationCategoryCodeType,,FALSE,FALSE,FALSE,,,,apco:AlarmEventLocationCategoryCodeSimpleType
apco,AlarmEventLocationCategoryCodeType,A data type for the kinds of location at which an alarm event occurs.,CSC,,,FALSE,FALSE,FALSE,,,,apco:AlarmEventLocationCategoryCodeType
apco,AlarmEventResponseActionCodeSimpleType,A data type for actions requested of an alarm event responder.,S,apco:AlarmEventResponseActionCodeType,,FALSE,FALSE,FALSE,,,,apco:AlarmEventResponseActionCodeSimpleType
apco,AlarmEventResponseActionCodeType,A data type for actions requested of an alarm event responder.,CSC,,,FALSE,FALSE,FALSE,,,,apco:AlarmEventResponseActionCodeType
em,AlarmEventType,A data type for an alarm event.,CCC,,nc:ActivityType,FALSE,FALSE,FALSE,,,,em:AlarmEventType
em,AlarmPermitType,A data type for a permit for the alarm event site.,CCC,,,FALSE,FALSE,FALSE,,,,em:AlarmPermitType
em,AlarmType,A data type for an alarm.,CCC,,,FALSE,FALSE,FALSE,,,,em:AlarmType
mmucc,AlcoholInvolvementSuspicionCodeSimpleType,A data type for a driver or non-motorist involved in the crash suspected by law enforcement to have used alcohol.,S,mmucc:AlcoholInvolvementSuspicionCodeType,,FALSE,FALSE,FALSE,,,,mmucc:AlcoholInvolvementSuspicionCodeSimpleType
mmucc,AlcoholInvolvementSuspicionCodeType,A data type for a driver or non-motorist involved in the crash suspected by law enforcement to have used alcohol.,CSC,,,FALSE,FALSE,FALSE,,,,mmucc:AlcoholInvolvementSuspicionCodeType
mmucc,AlcoholTestCategoryCodeSimpleType,A data type for the kind of Alcohol Test Given.,S,mmucc:AlcoholTestCategoryCodeType,,FALSE,FALSE,FALSE,,,,mmucc:AlcoholTestCategoryCodeSimpleType
mmucc,AlcoholTestCategoryCodeType,A data type for the kind of Alcohol Test Given.,CSC,,,FALSE,FALSE,FALSE,,,,mmucc:AlcoholTestCategoryCodeType
mmucc,AlcoholTestResultCodeSimpleType,A data type for a status of BAC Test results.,S,mmucc:AlcoholTestResultCodeType,,FALSE,FALSE,FALSE,,,,mmucc:AlcoholTestResultCodeSimpleType
mmucc,AlcoholTestResultCodeType,A data type for a status of BAC Test results.,CSC,,,FALSE,FALSE,FALSE,,,,mmucc:AlcoholTestResultCodeType
j,AlcoholTestResultQuantitySimpleType,A data type for blood alcohol content (BAC) Test Result.,S,j:AlcoholTestResultQuantityType,,FALSE,FALSE,FALSE,,,2 digits.,j:AlcoholTestResultQuantitySimpleType
j,AlcoholTestResultQuantityType,A data type for blood alcohol content (BAC) Test Result.,CSC,,,FALSE,FALSE,FALSE,,,2 digits.,j:AlcoholTestResultQuantityType
mmucc,AlcoholTestStatusCodeSimpleType,A data type for an indication of the presence of alcohol by test.,S,mmucc:AlcoholTestStatusCodeType,,FALSE,FALSE,FALSE,,,,mmucc:AlcoholTestStatusCodeSimpleType
mmucc,AlcoholTestStatusCodeType,A data type for an indication of the presence of alcohol by test.,CSC,,,FALSE,FALSE,FALSE,,,,mmucc:AlcoholTestStatusCodeType
edxl-cap,AlertAdapterType,A data type for a simple but general format for exchanging effective warning messages based on best practices identified in academic research and real-world experience.,CCC,,,FALSE,TRUE,FALSE,,,,edxl-cap:AlertAdapterType
em,AlertAffectedLocationType,A data type for a location affected by an alert.,CCC,,nc:LocationType,FALSE,FALSE,FALSE,,,,em:AlertAffectedLocationType
scr,AlertAugmentationType,A data type for additional information about an alert.,CCC,,,FALSE,FALSE,TRUE,,,,scr:AlertAugmentationType
em,AlertCategoryCodeSimpleType,A data type for a code set denoting the type of alert message.,S,em:AlertCategoryCodeType,,FALSE,FALSE,FALSE,,,,em:AlertCategoryCodeSimpleType
scr,AlertCategoryCodeSimpleType,A data type for denoting the type of alert message.,S,scr:AlertCategoryCodeType,,FALSE,FALSE,FALSE,,,,scr:AlertCategoryCodeSimpleType
em,AlertCategoryCodeType,A data type for a code set denoting the type of alert message.,CSC,,,FALSE,FALSE,FALSE,,,,em:AlertCategoryCodeType
scr,AlertCategoryCodeType,A data type for denoting the type of alert message.,CSC,,,FALSE,FALSE,FALSE,,,,scr:AlertCategoryCodeType
em,AlertEventDetailsCategoryCodeSimpleType,A data type for the category code designated to an alert event.,S,em:AlertEventDetailsCategoryCodeType,,FALSE,FALSE,FALSE,,,,em:AlertEventDetailsCategoryCodeSimpleType
em,AlertEventDetailsCategoryCodeType,A data type for the category code designated to an alert event.,CSC,,,FALSE,FALSE,FALSE,,,,em:AlertEventDetailsCategoryCodeType
em,AlertEventDetailsCertaintyCodeSimpleType,A data type for the certainty code designated to an alert event.,S,em:AlertEventDetailsCertaintyCodeType,,FALSE,FALSE,FALSE,,,,em:AlertEventDetailsCertaintyCodeSimpleType
em,AlertEventDetailsCertaintyCodeType,A data type for the certainty code designated to an alert event.,CSC,,,FALSE,FALSE,FALSE,,,,em:AlertEventDetailsCertaintyCodeType
em,AlertEventDetailsResponseRecommendationCodeSimpleType,A data type for the response recommendation code designated to an alert event.,S,em:AlertEventDetailsResponseRecommendationCodeType,,FALSE,FALSE,FALSE,,,,em:AlertEventDetailsResponseRecommendationCodeSimpleType
em,AlertEventDetailsResponseRecommendationCodeType,A data type for the response recommendation code designated to an alert event.,CSC,,,FALSE,FALSE,FALSE,,,,em:AlertEventDetailsResponseRecommendationCodeType
em,AlertEventDetailsSeverityCodeSimpleType,A data type for the severity code designated to an alert event.,S,em:AlertEventDetailsSeverityCodeType,,FALSE,FALSE,FALSE,,,,em:AlertEventDetailsSeverityCodeSimpleType
em,AlertEventDetailsSeverityCodeType,A data type for the severity code designated to an alert event.,CSC,,,FALSE,FALSE,FALSE,,,,em:AlertEventDetailsSeverityCodeType
em,AlertEventDetailsType,A data type for an alert event details.,CCC,,,FALSE,FALSE,FALSE,,,,em:AlertEventDetailsType
em,AlertEventDetailsUrgencyCodeSimpleType,A data type for the urgency code designated to an alert event.,S,em:AlertEventDetailsUrgencyCodeType,,FALSE,FALSE,FALSE,,,,em:AlertEventDetailsUrgencyCodeSimpleType
em,AlertEventDetailsUrgencyCodeType,A data type for the urgency code designated to an alert event.,CSC,,,FALSE,FALSE,FALSE,,,,em:AlertEventDetailsUrgencyCodeType
em,AlertIncidentAssociationType,A data type for an association between an alert and an incident.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,em:AlertIncidentAssociationType
em,AlertSupplementaryDigitalResourceType,A data type for a digital representation of an object.,CCC,,,FALSE,FALSE,FALSE,,,,em:AlertSupplementaryDigitalResourceType
em,AlertType,A data type for an alert message.,CCC,,,FALSE,FALSE,FALSE,,,,em:AlertType
im,AlienAlertType,A data type for the significant information regarding an alien communicated to immigration or enforcement officials notifying them of potential risk or risks.,CCC,,,FALSE,FALSE,FALSE,,,,im:AlienAlertType
scr,AlienDeportationEscortReasonType,A data type for an explanation why a DHS designated person is required to accompany the person during DEPORTATION.,CCC,,,FALSE,FALSE,FALSE,,,,scr:AlienDeportationEscortReasonType
scr,AlienDeportationType,A data type for an involuntary DEPARTURE of a PERSON based on a judicial decision or inspectors discretion.,CCC,,,FALSE,FALSE,FALSE,,,,scr:AlienDeportationType
scr,AlienDetentionType,A data type that supplements information for nc:SupervisionType,CCC,,nc:SupervisionType,FALSE,FALSE,FALSE,,,,scr:AlienDetentionType
im,AlienEncounterType,A data type for the interface between an alien and a Department of Homeland Security (DHS) Immigration and Customs Enforcement (ICE) official.,CCC,,nc:PersonEncounterType,FALSE,FALSE,FALSE,,,,im:AlienEncounterType
scr,AlienEntryStatusType,A data type for an entry status of an alien.,CCC,,nc:StatusType,FALSE,FALSE,FALSE,,,,scr:AlienEntryStatusType
im,AlienExchangeVisitorAdmissionType,A data type for a non-immigrant alien arriving in the United States on a temporary basis as a participant in a program approved by the Department of State.,CCC,,,FALSE,FALSE,FALSE,,,,im:AlienExchangeVisitorAdmissionType
im,AlienExchangeVisitorRoleType,A data type for a non-immigrant alien who visits the United States to participate in either an educational or cultural exchange program that is approved by the United States Department of State.,CCC,,im:NonImmigrantRoleType,FALSE,FALSE,FALSE,,,,im:AlienExchangeVisitorRoleType
scr,AlienExchangeVisitorType,A data type for an applied augmentation for type im:AlienExchangeVisitorType,CCC,,,FALSE,FALSE,FALSE,,,,scr:AlienExchangeVisitorType
im,AlienIDDetailsType,A data type for the information further describing the documented identification of an alien.,CCC,,,FALSE,FALSE,FALSE,,,,im:AlienIDDetailsType
im,AlienMatchCandidateType,A data type for the resulting list of aliens that match all or part of a search criteria for the purpose of identifying the alien.,CCC,,,FALSE,FALSE,FALSE,,,,im:AlienMatchCandidateType
im,AlienMiscellaneousNumberIDType,A data type for an alternate number assigned to an alien for the purposes of identification.,CCC,,nc:IdentificationType,FALSE,FALSE,FALSE,,,,im:AlienMiscellaneousNumberIDType
im,AlienRoleType,A data type for a foreign born person who is not a citizen of the United States.,CCC,,im:PersonCountryRoleType,FALSE,FALSE,FALSE,,,,im:AlienRoleType
