PropertyNS,PropertyName,QualifiedType,Definition,SubstitutionGroupQualifiedProperty,IsElement,IsAbstract,Keywords,ExampleContent,UsageInfo,QualifiedProperty
cyfs,ActionRequestedCode,cyfs:ActionRequestedCodeType,"A code indicating any of the actions being requested of the court e.g. what types of services the child needs  (e.g. mental health, medical, emergency, basic, therapeutic, habilitative).",cyfs:ActionRequested,TRUE,FALSE,,,,cyfs:ActionRequestedCode
cyfs,ActionRequestedText,nc:TextType,An action being requested.,cyfs:ActionRequested,TRUE,FALSE,,,,cyfs:ActionRequestedText
nc,Activity,nc:ActivityType,"A single or set of related actions, events, or process steps.",,TRUE,FALSE,,,,nc:Activity
nc,ActivityAdministratorOrganizationAssociation,nc:ActivityOrganizationAssociationType,An association between an activity and an organization which administers it.,,TRUE,FALSE,,,,nc:ActivityAdministratorOrganizationAssociation
nc,ActivityAdministratorPersonAssociation,nc:ActivityPersonAssociationType,An association between an activity and a person who administers it.,,TRUE,FALSE,,,,nc:ActivityAdministratorPersonAssociation
j,ActivityArrestAssociation,j:ActivityArrestAssociationType,An association between an activity and an arrest.,,TRUE,FALSE,,,,j:ActivityArrestAssociation
j,ActivityArrestAssociationAugmentationPoint,,An augmentation point for ActivityArrestAssociationType.,,TRUE,TRUE,,,,j:ActivityArrestAssociationAugmentationPoint
j,ActivityAssistingPersonAssociation,nc:ActivityPersonAssociationType,An association between an activity and someone who assists with that activity.,,TRUE,FALSE,,,,j:ActivityAssistingPersonAssociation
j,ActivityAugmentation,j:ActivityAugmentationType,Additional information about an activity.,nc:ActivityAugmentationPoint,TRUE,FALSE,,,,j:ActivityAugmentation
nc,ActivityAugmentationPoint,,An augmentation point for ActivityType.,,TRUE,TRUE,,,,nc:ActivityAugmentationPoint
nc,ActivityBillRecipientOrganizationAssociation,nc:ActivityOrganizationAssociationType,An association between an activity and an organization which receives a bill for the activity.,,TRUE,FALSE,,,,nc:ActivityBillRecipientOrganizationAssociation
nc,ActivityBillRecipientPersonAssociation,nc:ActivityPersonAssociationType,An association between an activity and a person who receives a bill for the activity.,,TRUE,FALSE,,,,nc:ActivityBillRecipientPersonAssociation
j,ActivityCaseAssociation,j:ActivityCaseAssociationType,An association between an activity and a case.,,TRUE,FALSE,,,,j:ActivityCaseAssociation
j,ActivityCaseAssociationAugmentationPoint,,An augmentation point for ActivityCaseAssociationType.,,TRUE,TRUE,,,,j:ActivityCaseAssociationAugmentationPoint
nc,ActivityCategoryText,nc:TextType,A kind of activity.,,TRUE,FALSE,,"For an arrest, this could be ""felony arrest"".  For an incident, this could be ""burglary"".  For an encounter, this could be ""interview"".",,nc:ActivityCategoryText
j,ActivityCourtOrderAssociationAugmentationPoint,,An augmentation point for ActivityCourtOrderAssociationType.,,TRUE,TRUE,,,,j:ActivityCourtOrderAssociationAugmentationPoint
j,ActivityCriminalOrganizationAssociation,j:ActivityCriminalOrganizationAssociationType,An association between an activity and a criminal organization.,,TRUE,FALSE,,,,j:ActivityCriminalOrganizationAssociation
j,ActivityCriminalOrganizationAssociationAugmentationPoint,,An augmentation point for ActivityCriminalOrganizationAssociationType.,,TRUE,TRUE,,,,j:ActivityCriminalOrganizationAssociationAugmentationPoint
j,ActivityCustodyTransferAssociation,j:ActivityCustodyTransferAssociationType,An association between an activity and transfer of custody.,,TRUE,FALSE,,,,j:ActivityCustodyTransferAssociation
j,ActivityCustodyTransferAssociationAugmentationPoint,,An augmentation point for ActivityCustodyTransferAssociationType.,,TRUE,TRUE,,,,j:ActivityCustodyTransferAssociationAugmentationPoint
nc,ActivityDate,nc:DateType,A date of an activity.,nc:ActivityDateRepresentation,TRUE,FALSE,,,,nc:ActivityDate
nc,ActivityDateRange,nc:DateRangeType,A period of time over which an activity occurs.,nc:ActivityDateRepresentation,TRUE,FALSE,,,,nc:ActivityDateRange
nc,ActivityDateRepresentation,,A data concept for a date an activity occurs.,,TRUE,TRUE,,,,nc:ActivityDateRepresentation
nc,ActivityDescriptionText,nc:TextType,A description of an activity.,,TRUE,FALSE,,,,nc:ActivityDescriptionText
j,ActivityDispatcherAssociation,nc:ActivityPersonAssociationType,An association between an activity and a person who assigns people or units to respond to an activity or location.,,TRUE,FALSE,,,,j:ActivityDispatcherAssociation
nc,ActivityDisposition,nc:DispositionType,A result or outcome of an activity.,,TRUE,FALSE,,,,nc:ActivityDisposition
nc,ActivityDocumentAssociation,nc:ActivityDocumentAssociationType,An association between an activity and a document.,,TRUE,FALSE,,,,nc:ActivityDocumentAssociation
nc,ActivityDocumentAssociationAugmentationPoint,,An augmentation point for ActivityDocumentAssociationType.,,TRUE,TRUE,,,,nc:ActivityDocumentAssociationAugmentationPoint
j,ActivityDocumentServer,nc:EntityType,An entity responsible for service of a legal document.,,TRUE,FALSE,,,"For example, a warrant or a restraining order.",j:ActivityDocumentServer
j,ActivityDocumentValidator,nc:EntityType,An entity to contact to validate a document.,,TRUE,FALSE,,,The document could be a warrant.,j:ActivityDocumentValidator
j,ActivityDriverLicenseAssociation,j:ActivityDriverLicenseAssociationType,An association between an activity and a driver license.,,TRUE,FALSE,,,,j:ActivityDriverLicenseAssociation
j,ActivityDriverLicenseAssociationAugmentationPoint,,An augmentation point for ActivityDriverLicenseAssociationType.,,TRUE,TRUE,,,,j:ActivityDriverLicenseAssociationAugmentationPoint
j,ActivityEmailAddressAssociation,j:ActivityEmailAddressAssociationType,A relationship between an activity and an email address.,,TRUE,FALSE,,,,j:ActivityEmailAddressAssociation
j,ActivityEmailAddressAssociationAugmentationPoint,,An augmentation point for ActivityEmailAddressAssociationType.,,TRUE,TRUE,,,,j:ActivityEmailAddressAssociationAugmentationPoint
j,ActivityEmployeeAssociation,j:ActivityEmployeeAssociationType,An association between an activity and an employee.,,TRUE,FALSE,,,,j:ActivityEmployeeAssociation
j,ActivityEmployeeAssociationAugmentationPoint,,An augmentation point for ActivityEmployeeAssociationType.,,TRUE,TRUE,,,,j:ActivityEmployeeAssociationAugmentationPoint
j,ActivityEnforcementOfficialAssociation,nc:ActivityPersonAssociationType,An association between an activity and an enforcement official.,,TRUE,FALSE,,,,j:ActivityEnforcementOfficialAssociation
j,ActivityEvidenceAssociation,j:ActivityEvidenceAssociationType,An association between an activity and evidence.,,TRUE,FALSE,,,,j:ActivityEvidenceAssociation
j,ActivityEvidenceAssociationAugmentationPoint,,An augmentation point for ActivityEvidenceAssociationType.,,TRUE,TRUE,,,,j:ActivityEvidenceAssociationAugmentationPoint
j,ActivityEvidenceLedgerAssociation,nc:ActivityDocumentAssociationType,An association between an activity and an evidence ledger.,,TRUE,FALSE,,,,j:ActivityEvidenceLedgerAssociation
nc,ActivityFacilityAssociation,nc:ActivityFacilityAssociationType,An association between an activity and a facility.,,TRUE,FALSE,,,,nc:ActivityFacilityAssociation
nc,ActivityFacilityAssociationAugmentationPoint,,An augmentation point for ActivityFacilityAssociationType.,,TRUE,TRUE,,,,nc:ActivityFacilityAssociationAugmentationPoint
j,ActivityFeeAssociation,j:ActivityFeeAssociationType,An association between an activity and a fee.,,TRUE,FALSE,,,,j:ActivityFeeAssociation
j,ActivityFeeAssociationAugmentationPoint,,An augmentation point for ActivityFeeAssociationType.,,TRUE,TRUE,,,,j:ActivityFeeAssociationAugmentationPoint
j,ActivityForceAssociation,j:ActivityForceAssociationType,An association between an activity and a use of force.,,TRUE,FALSE,,,,j:ActivityForceAssociation
j,ActivityForceAssociationAugmentationPoint,,An augmentation point for ActivityForceAssociationType.,,TRUE,TRUE,,,,j:ActivityForceAssociationAugmentationPoint
nc,ActivityIdentification,nc:IdentificationType,An identification that references an activity.,,TRUE,FALSE,,,,nc:ActivityIdentification
j,ActivityIncidentAssociation,j:ActivityIncidentAssociationType,An association between an activity and an incident.,,TRUE,FALSE,,,,j:ActivityIncidentAssociation
j,ActivityIncidentAssociationAugmentationPoint,,An augmentation point for ActivityIncidentAssociationType.,,TRUE,TRUE,,,,j:ActivityIncidentAssociationAugmentationPoint
nc,ActivityInformationAbstracterOrganizationAssociation,nc:ActivityOrganizationAssociationType,An association between an activity and an organization that abstracted information for that activity.,,TRUE,FALSE,,,,nc:ActivityInformationAbstracterOrganizationAssociation
j,ActivityInformationAbstracterPersonAssociation,nc:ActivityPersonAssociationType,An association between an activity and a person who abstracted information about that activity.,,TRUE,FALSE,,,,j:ActivityInformationAbstracterPersonAssociation
j,ActivityInformationApproverAssociation,nc:ActivityPersonAssociationType,An association between an activity and a person who approved information for that activity.,,TRUE,FALSE,,,,j:ActivityInformationApproverAssociation
nc,ActivityInformationClearerOrganizationAssociation,nc:ActivityOrganizationAssociationType,An association between an activity and an organization that cleared information for that activity.,,TRUE,FALSE,,,,nc:ActivityInformationClearerOrganizationAssociation
j,ActivityInformationOwnerAssociation,nc:ActivityPersonAssociationType,An association between an activity and a person who owns the information regarding that activity.,,TRUE,FALSE,,,,j:ActivityInformationOwnerAssociation
j,ActivityInformationReleaserAssociation,nc:ActivityPersonAssociationType,An association between an activity and a person who releases the information about that activity.,,TRUE,FALSE,,,,j:ActivityInformationReleaserAssociation
j,ActivityInformationReporterAssociation,nc:ActivityPersonAssociationType,An association between an activity and a person who reports information about that activity.,,TRUE,FALSE,,,,j:ActivityInformationReporterAssociation
j,ActivityInstantMessengerAssociation,j:ActivityInstantMessengerAssociationType,A relationship between an activity and an other contact address.,,TRUE,FALSE,,,,j:ActivityInstantMessengerAssociation
j,ActivityInstantMessengerAssociationAugmentationPoint,,An augmentation point for ActivityInstantMessengerAssociationType.,,TRUE,TRUE,,,,j:ActivityInstantMessengerAssociationAugmentationPoint
nc,ActivityInvolvedOrganizationAssociation,nc:ActivityOrganizationAssociationType,An association between an activity and an organization somehow involved in that activity.,,TRUE,FALSE,,,,nc:ActivityInvolvedOrganizationAssociation
cyfs,ActivityInvolvedPersonAssociationAugmentation,cyfs:ActivityInvolvedPersonAssociationAugmentationType,Additional information about a relationship between an activity and a person involved in that activity.,nc:ActivityPersonAssociationAugmentationPoint,TRUE,FALSE,,,,cyfs:ActivityInvolvedPersonAssociationAugmentation
nc,ActivityInvolvement,,A data concept for a description of the involvement of an entity in an activity.,,TRUE,TRUE,,,,nc:ActivityInvolvement
nc,ActivityInvolvementText,nc:TextType,A description of the involvement of an entity in an activity.,nc:ActivityInvolvement,TRUE,FALSE,,,,nc:ActivityInvolvementText
nc,ActivityItemAssociation,nc:ActivityItemAssociationType,An association between an activity and an item.,,TRUE,FALSE,,,,nc:ActivityItemAssociation
nc,ActivityItemAssociationAugmentationPoint,,An augmentation point for ActivityItemAssociationType.,,TRUE,TRUE,,,,nc:ActivityItemAssociationAugmentationPoint
j,ActivityJudgeAssociation,j:ActivityJudgeAssociationType,An association between an activity and a judge.,,TRUE,FALSE,,,,j:ActivityJudgeAssociation
j,ActivityJudgeAssociationAugmentationPoint,,An augmentation point for ActivityJudgeAssociationType.,,TRUE,TRUE,,,,j:ActivityJudgeAssociationAugmentationPoint
j,ActivityJudicialOfficialAssociation,nc:ActivityPersonAssociationType,An association between an activity and a judicial official.,,TRUE,FALSE,,,,j:ActivityJudicialOfficialAssociation
j,ActivityJurisdictionAssociation,j:ActivityJurisdictionAssociationType,An association between an activity and a jurisdiction.,,TRUE,FALSE,,,,j:ActivityJurisdictionAssociation
j,ActivityJurisdictionAssociationAugmentationPoint,,An augmentation point for ActivityJurisdictionAssociationType.,,TRUE,TRUE,,,,j:ActivityJurisdictionAssociationAugmentationPoint
j,ActivityLabReceiptAssociation,nc:ActivityDocumentAssociationType,An association between an activity and a lab receipt.,,TRUE,FALSE,,,,j:ActivityLabReceiptAssociation
j,ActivityLocationAssociation,j:ActivityLocationAssociationType,An association between an activity and a location.,,TRUE,FALSE,,,,j:ActivityLocationAssociation
j,ActivityLocationAssociationAugmentationPoint,,An augmentation point for ActivityLocationAssociationType.,,TRUE,TRUE,,,,j:ActivityLocationAssociationAugmentationPoint
cbrn,ActivityName,niem-xs:string,A name of the activity associated with a request. This property can be used to provide data for workflow coordination by the sending or receiving systems.,,TRUE,FALSE,,,,cbrn:ActivityName
nc,ActivityName,nc:TextType,A name of an activity.,,TRUE,FALSE,,,,nc:ActivityName
j,ActivityNarrativeDocumentAssociation,nc:ActivityDocumentAssociationType,An association between an activity and a document providing a narrative of that activity.,,TRUE,FALSE,,,,j:ActivityNarrativeDocumentAssociation
j,ActivityNetworkAddressAssociation,j:ActivityNetworkAddressAssociationType,A relationship between an activity and a network address.,,TRUE,FALSE,,,,j:ActivityNetworkAddressAssociation
j,ActivityNetworkAddressAssociationAugmentationPoint,,An augmentation point for ActivityNetworkAddressAssociationType.,,TRUE,TRUE,,,,j:ActivityNetworkAddressAssociationAugmentationPoint
j,ActivityObligationAssociation,j:ActivityObligationAssociationType,An association between an activity and an obligation.,,TRUE,FALSE,,,,j:ActivityObligationAssociation
j,ActivityObligationAssociationAugmentationPoint,,An augmentation point for ActivityObligationAssociationType.,,TRUE,TRUE,,,,j:ActivityObligationAssociationAugmentationPoint
j,ActivityOfficial,nc:PersonType,An official associated with an activity,,TRUE,FALSE,,,,j:ActivityOfficial
j,ActivityOfficialAssociation,nc:ActivityPersonAssociationType,An association between an activity and an official.,,TRUE,FALSE,,,,j:ActivityOfficialAssociation
nc,ActivityOrganizationAssociationAugmentationPoint,,An augmentation point for ActivityOrganizationAssociationType.,,TRUE,TRUE,,,,nc:ActivityOrganizationAssociationAugmentationPoint
j,ActivityOriginatingDocumentAssociation,nc:ActivityDocumentAssociationType,An association between an activity and a document that originated it.,,TRUE,FALSE,,,,j:ActivityOriginatingDocumentAssociation
nc,ActivityPersonAssociation,nc:ActivityPersonAssociationType,An association between a person and an activity in which a person was or may have been involved.,,TRUE,FALSE,,,,nc:ActivityPersonAssociation
nc,ActivityPersonAssociationAugmentationPoint,,An augmentation point for ActivityPersonAssociationType.,,TRUE,TRUE,,,,nc:ActivityPersonAssociationAugmentationPoint
nc,ActivityPrimaryOrganizationAssociation,nc:ActivityOrganizationAssociationType,An association between an activity and an organization primarily associated with that activity.,,TRUE,FALSE,,,,nc:ActivityPrimaryOrganizationAssociation
j,ActivityPrimaryPersonAssociation,nc:ActivityPersonAssociationType,A relationship between an activity and a primary person involved in that activity.,,TRUE,FALSE,,,,j:ActivityPrimaryPersonAssociation
scr,ActivityPriorityQuantity,nc:NumericType,"A number of the Priority value of the activity, with 0-4 as gradient normal, 4 as the default, and 5-9 as gradient expedited priority.",,TRUE,FALSE,,,,scr:ActivityPriorityQuantity
scr,ActivityProcessCategory,,A data concept for a kind of activity process.,,TRUE,TRUE,,,,scr:ActivityProcessCategory
scr,ActivityProcessCategoryCode,scr:ActivityProcessCategoryCodeType,A kind of activity process.,scr:ActivityProcessCategory,TRUE,FALSE,,,,scr:ActivityProcessCategoryCode
scr,ActivityProcessClassification,scr:ActivityProcessClassificationType,A kind of activity process.,,TRUE,FALSE,,,,scr:ActivityProcessClassification
scr,ActivityProcessClassificationAugmentationPoint,,An augmentation point for ActivityProcessClassificationType.,,TRUE,TRUE,,,,scr:ActivityProcessClassificationAugmentationPoint
scr,ActivityProcessDescriptionText,nc:TextType,A description of a kind of activity process.,,TRUE,FALSE,,,,scr:ActivityProcessDescriptionText
j,ActivityProgramAssociation,j:ActivityProgramAssociationType,An association between an activity and a program.,,TRUE,FALSE,,,,j:ActivityProgramAssociation
j,ActivityProgramAssociationAugmentationPoint,,An augmentation point for ActivityProgramAssociationType.,,TRUE,TRUE,,,,j:ActivityProgramAssociationAugmentationPoint
nc,ActivityReasonText,nc:TextType,A reason for an activity.,,TRUE,FALSE,,,,nc:ActivityReasonText
j,ActivityReferralAssociation,j:ActivityReferralAssociationType,An association between an activity and a referral.,,TRUE,FALSE,,,,j:ActivityReferralAssociation
j,ActivityReferralAssociationAugmentationPoint,,An augmentation point for ActivityReferralAssociationType.,,TRUE,TRUE,,,,j:ActivityReferralAssociationAugmentationPoint
nc,ActivityRelationText,nc:TextType,A relationship between activities.,,TRUE,FALSE,,,,nc:ActivityRelationText
j,ActivityReleaseAssociation,j:ActivityReleaseAssociationType,An association between an activity and a release.,,TRUE,FALSE,,,,j:ActivityReleaseAssociation
j,ActivityReleaseAssociationAugmentationPoint,,An augmentation point for ActivityReleaseAssociationType.,,TRUE,TRUE,,,,j:ActivityReleaseAssociationAugmentationPoint
nc,ActivityReportingOrganizationAssociation,nc:ActivityOrganizationAssociationType,An association between an activity and an organization that is reporting to that activity.,,TRUE,FALSE,,,,nc:ActivityReportingOrganizationAssociation
j,ActivityReportingSupervisorOrganizationAssociation,nc:ActivityOrganizationAssociationType,A relationship between an activity and a supervisor organization.,,TRUE,FALSE,,,,j:ActivityReportingSupervisorOrganizationAssociation
scr,ActivityRequestCategory,,A data concept for a kind of activity request.,,TRUE,TRUE,,,,scr:ActivityRequestCategory
scr,ActivityRequestCategoryCode,scr:ActivityRequestCategoryCodeType,A kind of activity request.,scr:ActivityRequestCategory,TRUE,FALSE,,,,scr:ActivityRequestCategoryCode
scr,ActivityRequestClassification,scr:ActivityRequestClassificationType,A kind of activity request.,,TRUE,FALSE,,,,scr:ActivityRequestClassification
scr,ActivityRequestClassificationAugmentationPoint,,An augmentation point for ActivityRequestClassificationType.,,TRUE,TRUE,,,,scr:ActivityRequestClassificationAugmentationPoint
scr,ActivityRequestDescriptionText,nc:TextType,A description of a kind of activity request.,,TRUE,FALSE,,,,scr:ActivityRequestDescriptionText
scr,ActivityResponseCategory,,A data concept for a kind of activity response.,,TRUE,TRUE,,,,scr:ActivityResponseCategory
scr,ActivityResponseCategoryCode,scr:ActivityResponseCategoryCodeType,A kind of activity response.,scr:ActivityResponseCategory,TRUE,FALSE,,,,scr:ActivityResponseCategoryCode
scr,ActivityResponseClassification,scr:ActivityResponseClassificationType,A kind of activity response.,,TRUE,FALSE,,,,scr:ActivityResponseClassification
scr,ActivityResponseClassificationAugmentationPoint,,An augmentation point for ActivityResponseClassificationType.,,TRUE,TRUE,,,,scr:ActivityResponseClassificationAugmentationPoint
scr,ActivityResponseDescriptionText,nc:TextType,A description of a kind of activity response.,,TRUE,FALSE,,,,scr:ActivityResponseDescriptionText
scr,ActivityResponseQuantity,nc:NumericType,A number indicating the number of results to return for the request.,,TRUE,FALSE,,,,scr:ActivityResponseQuantity
scr,ActivityResponseRuleText,nc:TextType,A Rule defining how to handle the results being returned for the request.,,TRUE,FALSE,,,,scr:ActivityResponseRuleText
scr,ActivityResponseText,nc:TextType,A text that contains the ACTIVITY RESPONSE value,,TRUE,FALSE,,,,scr:ActivityResponseText
nc,ActivityResponsibleOrganizationAssociation,nc:ActivityOrganizationAssociationType,An association between an activity and an organization with responsibility over that activity.,,TRUE,FALSE,,,,nc:ActivityResponsibleOrganizationAssociation
j,ActivityResponsiblePersonAssociation,nc:ActivityPersonAssociationType,A relationship between an activity and a person responsible for that activity.,,TRUE,FALSE,,,,j:ActivityResponsiblePersonAssociation
scr,ActivityResultsCategory,,A data concept for a kind of activity results.,,TRUE,TRUE,,,,scr:ActivityResultsCategory
scr,ActivityResultsCategoryCode,scr:ActivityResultsCategoryCodeType,A kind of activity results.,scr:ActivityResultsCategory,TRUE,FALSE,,,,scr:ActivityResultsCategoryCode
scr,ActivityResultsClassification,scr:ActivityResultsClassificationType,A kind of activity results.,,TRUE,FALSE,,,,scr:ActivityResultsClassification
