QualifiedType,QualifiedProperty,MinOccurs,MaxOccurs,Definition
j:ActivityEmployeeAssociationType,nc:Activity,0,unbounded,
j:ActivityEmployeeAssociationType,nc:Employee,0,unbounded,
j:ActivityEmployeeAssociationType,j:ActivityEmployeeAssociationAugmentationPoint,0,unbounded,
j:ActivityEvidenceAssociationType,nc:Activity,0,unbounded,
j:ActivityEvidenceAssociationType,j:Evidence,0,unbounded,
j:ActivityEvidenceAssociationType,j:ActivityEvidenceAssociationAugmentationPoint,0,unbounded,
nc:ActivityFacilityAssociationType,nc:Activity,0,unbounded,
nc:ActivityFacilityAssociationType,nc:Facility,0,unbounded,
nc:ActivityFacilityAssociationType,nc:ActivityFacilityAssociationAugmentationPoint,0,unbounded,
j:ActivityFeeAssociationType,nc:Activity,0,unbounded,
j:ActivityFeeAssociationType,nc:Fee,0,unbounded,
j:ActivityFeeAssociationType,j:ActivityFeeAssociationAugmentationPoint,0,unbounded,
j:ActivityForceAssociationType,nc:Activity,0,unbounded,
j:ActivityForceAssociationType,j:Force,0,unbounded,
j:ActivityForceAssociationType,j:ActivityForceAssociationAugmentationPoint,0,unbounded,
j:ActivityIncidentAssociationType,nc:Activity,0,unbounded,
j:ActivityIncidentAssociationType,nc:Incident,0,unbounded,
j:ActivityIncidentAssociationType,j:ActivityIncidentAssociationAugmentationPoint,0,unbounded,
j:ActivityInstantMessengerAssociationType,nc:Activity,0,unbounded,
j:ActivityInstantMessengerAssociationType,j:InstantMessengerID,0,unbounded,
j:ActivityInstantMessengerAssociationType,j:ActivityInstantMessengerAssociationAugmentationPoint,0,unbounded,
cyfs:ActivityInvolvedPersonAssociationAugmentationType,cyfs:SignatureRequiredIndicator,0,unbounded,
nc:ActivityItemAssociationType,nc:Activity,0,unbounded,
nc:ActivityItemAssociationType,nc:Item,0,unbounded,
nc:ActivityItemAssociationType,nc:ActivityItemAssociationAugmentationPoint,0,unbounded,
j:ActivityJudgeAssociationType,nc:Activity,0,unbounded,
j:ActivityJudgeAssociationType,j:Judge,0,unbounded,
j:ActivityJudgeAssociationType,j:ActivityJudgeAssociationAugmentationPoint,0,unbounded,
j:ActivityJurisdictionAssociationType,nc:Activity,0,unbounded,
j:ActivityJurisdictionAssociationType,nc:Jurisdiction,0,unbounded,
j:ActivityJurisdictionAssociationType,j:ActivityJurisdictionAssociationAugmentationPoint,0,unbounded,
j:ActivityLocationAssociationType,nc:Activity,0,unbounded,
j:ActivityLocationAssociationType,nc:Location,0,unbounded,
j:ActivityLocationAssociationType,j:ActivityLocationAssociationAugmentationPoint,0,unbounded,
j:ActivityNetworkAddressAssociationType,j:NetworkAddressID,0,unbounded,
j:ActivityNetworkAddressAssociationType,nc:Activity,0,unbounded,
j:ActivityNetworkAddressAssociationType,j:ActivityNetworkAddressAssociationAugmentationPoint,0,unbounded,
j:ActivityObligationAssociationType,nc:Activity,0,unbounded,
j:ActivityObligationAssociationType,nc:Obligation,0,unbounded,
j:ActivityObligationAssociationType,j:ActivityObligationAssociationAugmentationPoint,0,unbounded,
nc:ActivityOrganizationAssociationType,nc:Activity,0,unbounded,
nc:ActivityOrganizationAssociationType,nc:Organization,0,unbounded,
nc:ActivityOrganizationAssociationType,nc:ActivityInvolvement,0,unbounded,
nc:ActivityOrganizationAssociationType,nc:ActivityOrganizationAssociationAugmentationPoint,0,unbounded,
nc:ActivityPersonAssociationType,nc:Activity,0,unbounded,
nc:ActivityPersonAssociationType,nc:Person,0,unbounded,
nc:ActivityPersonAssociationType,nc:ActivityInvolvement,0,unbounded,
nc:ActivityPersonAssociationType,nc:ActivityPersonAssociationAugmentationPoint,0,unbounded,
scr:ActivityProcessClassificationType,scr:ActivityProcessDescriptionText,0,unbounded,
scr:ActivityProcessClassificationType,scr:ActivityProcessCategory,0,unbounded,
scr:ActivityProcessClassificationType,scr:ActivityProcessClassificationAugmentationPoint,0,unbounded,
j:ActivityProgramAssociationType,nc:Activity,0,unbounded,
j:ActivityProgramAssociationType,nc:Program,0,unbounded,
j:ActivityProgramAssociationType,j:ActivityProgramAssociationAugmentationPoint,0,unbounded,
j:ActivityReferralAssociationType,nc:Activity,0,unbounded,
j:ActivityReferralAssociationType,nc:Referral,0,unbounded,
j:ActivityReferralAssociationType,j:ActivityReferralAssociationAugmentationPoint,0,unbounded,
j:ActivityReleaseAssociationType,nc:Activity,0,unbounded,
j:ActivityReleaseAssociationType,nc:Release,0,unbounded,
j:ActivityReleaseAssociationType,nc:Facility,0,unbounded,
j:ActivityReleaseAssociationType,nc:Organization,0,unbounded,
j:ActivityReleaseAssociationType,j:Subject,0,unbounded,
j:ActivityReleaseAssociationType,j:ActivityOfficial,0,unbounded,
j:ActivityReleaseAssociationType,j:ActivityReleaseAssociationAugmentationPoint,0,unbounded,
scr:ActivityRequestClassificationType,scr:ActivityRequestDescriptionText,0,unbounded,
scr:ActivityRequestClassificationType,scr:ActivityRequestCategory,0,unbounded,
scr:ActivityRequestClassificationType,scr:ActivityRequestClassificationAugmentationPoint,0,unbounded,
scr:ActivityResponseClassificationType,scr:ActivityResponseDescriptionText,0,unbounded,
scr:ActivityResponseClassificationType,scr:ActivityResponseCategory,0,unbounded,
scr:ActivityResponseClassificationType,scr:ActivityResponseClassificationAugmentationPoint,0,unbounded,
scr:ActivityResultsClassificationType,scr:ActivityResultsDescriptionText,0,unbounded,
scr:ActivityResultsClassificationType,scr:ActivityResultsCategory,0,unbounded,
scr:ActivityResultsClassificationType,scr:ActivityResultsClassificationAugmentationPoint,0,unbounded,
j:ActivitySanctionAssociationType,nc:Activity,0,unbounded,
j:ActivitySanctionAssociationType,j:Sanction,0,unbounded,
j:ActivitySanctionAssociationType,j:ActivitySanctionAssociationAugmentationPoint,0,unbounded,
nc:ActivityScheduleAssociationType,nc:Activity,0,unbounded,
nc:ActivityScheduleAssociationType,nc:ScheduleDay,0,unbounded,
nc:ActivityScheduleAssociationType,nc:ActivityScheduleAssociationAugmentationPoint,0,unbounded,
j:ActivitySentenceComputationAssociationType,nc:Activity,0,unbounded,
j:ActivitySentenceComputationAssociationType,j:SentenceComputation,0,unbounded,
j:ActivitySentenceComputationAssociationType,j:ActivitySentenceComputationAssociationAugmentationPoint,0,unbounded,
j:ActivityServiceCallAssociationType,nc:Activity,0,unbounded,
j:ActivityServiceCallAssociationType,j:ServiceCall,0,unbounded,
j:ActivityServiceCallAssociationType,j:ActivityServiceCallAssociationAugmentationPoint,0,unbounded,
nc:ActivitySiteAssociationType,nc:Site,0,unbounded,
nc:ActivitySiteAssociationType,nc:Activity,0,unbounded,
nc:ActivitySiteAssociationType,nc:ActivitySiteAssociationAugmentationPoint,0,unbounded,
j:ActivitySubjectAssociationType,nc:Activity,0,unbounded,
j:ActivitySubjectAssociationType,j:Subject,0,unbounded,
j:ActivitySubjectAssociationType,j:ActivitySubjectAssociationAugmentationPoint,0,unbounded,
j:ActivityTelephoneNumberAssociationType,nc:TelephoneNumber,0,unbounded,
j:ActivityTelephoneNumberAssociationType,nc:Activity,0,unbounded,
j:ActivityTelephoneNumberAssociationType,j:ActivityTelephoneNumberAssociationAugmentationPoint,0,unbounded,
nc:ActivityType,nc:ActivityIdentification,0,unbounded,
nc:ActivityType,nc:ActivityCategoryText,0,unbounded,
nc:ActivityType,nc:ActivityDateRepresentation,0,unbounded,
nc:ActivityType,nc:ActivityDescriptionText,0,unbounded,
nc:ActivityType,nc:ActivityName,0,unbounded,
nc:ActivityType,nc:ActivityStatus,0,unbounded,
nc:ActivityType,nc:ActivityReasonText,0,unbounded,
nc:ActivityType,nc:ActivityDisposition,0,unbounded,
nc:ActivityType,nc:ActivityAugmentationPoint,0,unbounded,
j:ActivityUnitAssociationType,nc:Activity,0,unbounded,
j:ActivityUnitAssociationType,j:EnforcementOfficialUnit,0,unbounded,
j:ActivityUnitAssociationType,j:ActivityUnitAssociationAugmentationPoint,0,unbounded,
j:ActivityVictimAssociationType,nc:Activity,0,unbounded,
j:ActivityVictimAssociationType,j:Victim,0,unbounded,
j:ActivityVictimAssociationType,j:ActivityVictimAssociationAugmentationPoint,0,unbounded,
j:ActivityWarrantAssociationType,nc:Activity,0,unbounded,
j:ActivityWarrantAssociationType,j:Warrant,0,unbounded,
j:ActivityWarrantAssociationType,j:Subject,0,unbounded,
j:ActivityWarrantAssociationType,j:ActivityWarrantAssociationAugmentationPoint,0,unbounded,
j:ActivityWitnessAssociationType,nc:Activity,0,unbounded,
j:ActivityWitnessAssociationType,j:Witness,0,unbounded,
j:ActivityWitnessAssociationType,j:ActivityWitnessAssociationAugmentationPoint,0,unbounded,
it:AdditionalDocumentType,it:AdditionalDocumentName,0,unbounded,
it:AdditionalDocumentType,it:AdditionalDocumentRefNumberID,0,unbounded,
it:AdditionalDocumentType,nc:Address,0,unbounded,
it:AdditionalDocumentType,it:AdditionalDocumentCategory,0,unbounded,
it:AdditionalDocumentType,it:AdditionalDocumentAugmentationPoint,0,unbounded,
it:AdditionalInformationType,it:AdditionalStatementDescriptionText,0,unbounded,
it:AdditionalInformationType,it:AdditionalStatementCategoryCodeText,0,unbounded,
it:AdditionalInformationType,it:InspectionRequestDate,0,unbounded,
it:AdditionalInformationType,it:CertificateContentText,0,unbounded,
it:AdditionalInformationType,scr:CountrySubdivisionName,0,unbounded,
it:AdditionalInformationType,scr:CountrySubdivisionCategory,0,unbounded,
it:AdditionalInformationType,it:AdditionalInformationAugmentationPoint,0,unbounded,
scr:AddressAugmentationType,scr:AddressIdentification,0,unbounded,
scr:AddressAugmentationType,scr:AddressClassification,0,unbounded,
scr:AddressAugmentationType,scr:INSLookoutIndicator,0,unbounded,
scr:AddressAugmentationType,scr:CountryNameID,0,unbounded,
it:AddressAugmentationType,it:LocationCountrySubEntityName,0,unbounded,
it:AddressAugmentationType,it:LocationCountrySubEntityIdentification,0,unbounded,
scr:AddressAugmentationType,scr:CountryNameBeginDate,0,unbounded,
scr:AddressAugmentationType,scr:CountryNameEndDate,0,unbounded,
scr:AddressAugmentationType,scr:CountrySubdivisionID,0,unbounded,
scr:AddressAugmentationType,scr:CountrySubdivisionNameID,0,unbounded,
scr:AddressAugmentationType,scr:CountrySubdivisionNameBeginDate,0,unbounded,
scr:AddressAugmentationType,scr:CountrySubdivisionNameEndDate,0,unbounded,
scr:AddressAugmentationType,scr:CountrySubdivisionName,0,unbounded,
scr:AddressAugmentationType,scr:CountrySubdivisionCategoryDescriptionText,0,unbounded,
scr:AddressAugmentationType,scr:LocationBlockGroupText,0,unbounded,
scr:AddressAugmentationType,scr:LocationCarrierRouteText,0,unbounded,
scr:AddressAugmentationType,scr:LocationTractText,0,unbounded,
scr:AddressAugmentationType,scr:LocationBuildingUnitName,0,unbounded,
scr:AddressAugmentationType,scr:LocationBuildingUnitNumberText,0,unbounded,
scr:AddressAugmentationType,scr:CountrySubdivisionCategory,0,unbounded,
scr:AddressAugmentationType,scr:LocationElement,0,unbounded,
scr:AddressClassificationType,scr:AddressClassificationCategoryDescriptionText,0,unbounded,
scr:AddressClassificationType,scr:AddressClassificationCategory,0,unbounded,
scr:AddressClassificationType,scr:AddressClassificationAugmentationPoint,0,unbounded,
nc:AddressGridType,nc:AddressGridID,0,unbounded,
nc:AddressGridType,nc:AddressGridText,0,unbounded,
nc:AddressGridType,nc:AddressGridAugmentationPoint,0,unbounded,
nc:AddressType,nc:AddressFullText,0,unbounded,
nc:AddressType,nc:AddressPrivateMailboxText,0,unbounded,
nc:AddressType,nc:AddressSecondaryUnitText,0,unbounded,
nc:AddressType,nc:AddressDeliveryPoint,0,unbounded,
nc:AddressType,nc:AddressRecipientName,0,unbounded,
nc:AddressType,nc:LocationCityName,0,unbounded,
nc:AddressType,nc:LocationCounty,0,unbounded,
nc:AddressType,nc:LocationState,0,unbounded,
nc:AddressType,nc:LocationCountry,0,unbounded,
nc:AddressType,nc:LocationPostalCode,0,unbounded,
nc:AddressType,nc:LocationPostalExtensionCode,0,unbounded,
nc:AddressType,nc:AddressUrbanizationName,0,unbounded,
nc:AddressType,nc:AddressAugmentationPoint,0,unbounded,
cyfs:AdoptiveFamilyAssociationType,cyfs:AdoptingParentRelationshipCategory,0,unbounded,
cyfs:AdoptiveFamilyAssociationType,cyfs:AdoptionPlacedFromText,0,unbounded,
cyfs:AdoptiveFamilyAssociationType,cyfs:AdoptionPlacementByText,0,unbounded,
cyfs:AdoptiveFamilyAssociationType,cyfs:JuvenileReceivesSubsidyIndicator,0,unbounded,
cyfs:AdoptiveFamilyAssociationType,cyfs:SubsidyMonthlyAmount,0,unbounded,
cyfs:AdoptiveFamilyAssociationType,cyfs:StateInvolvementIndicator,0,unbounded,
cyfs:AdoptiveFamilyAssociationType,cyfs:TitleIVEAdoptionIndicator,0,unbounded,
cyfs:AdoptiveFamilyAssociationType,cyfs:AdoptiveFamilyAssociationAugmentationPoint,0,unbounded,
cyfs:AdoptiveParentChildAssociationType,cyfs:AdoptionDecreeIndicator,0,unbounded,
cyfs:AdoptiveParentChildAssociationType,im:Orphan,0,unbounded,
cyfs:AdoptiveParentChildAssociationType,cyfs:AdoptionLocation,0,unbounded,
cyfs:AdoptiveParentChildAssociationType,scr:FinalAdoptionDecreeIndicator,0,unbounded,
cyfs:AdoptiveParentChildAssociationType,cyfs:AdoptiveParentChildAssociationAugmentationPoint,0,unbounded,
intel:AgencyInterestCategoryType,intel:SubjectCategoryCodeText,0,unbounded,
intel:AgencyInterestCategoryType,intel:FBIECRCode,0,unbounded,
intel:AgencyInterestCategoryType,intel:StateINACodeText,0,unbounded,
intel:AgencyInterestCategoryType,intel:AgencyInterestOtherCategory,0,unbounded,
intel:AgencyInterestCategoryType,intel:AgencyInterestCategoryAugmentationPoint,0,unbounded,
intel:AgencyInterestOtherCategoryType,intel:AgencyInterestCategoryText,0,unbounded,
intel:AgencyInterestOtherCategoryType,intel:AgencyInterestCategoryCodeText,0,unbounded,
intel:AgencyInterestOtherCategoryType,intel:AgencyInterestCategoryDescriptionText,0,unbounded,
intel:AgencyInterestOtherCategoryType,intel:AgencyInterestOtherCategoryAugmentationPoint,0,unbounded,
intel:AgencySubjectHandlingType,intel:AgencySubjectHandlingFBICodeText,0,unbounded,
intel:AgencySubjectHandlingType,intel:SubjectHandling,0,unbounded,
intel:AgencySubjectHandlingType,intel:AgencySubjectHandlingAugmentationPoint,0,unbounded,
intel:AgencySubjectInterestType,intel:AgencyName,0,unbounded,
intel:AgencySubjectInterestType,intel:AgencyInterestCategory,0,unbounded,
intel:AgencySubjectInterestType,intel:AgencySubjectHandling,0,unbounded,
intel:AgencySubjectInterestType,intel:SubjectReasonOnListText,0,unbounded,
intel:AgencySubjectInterestType,intel:SubjectCautionInformation,0,unbounded,
intel:AgencySubjectInterestType,intel:AgencySubjectInterestAugmentationPoint,0,unbounded,
scr:AgentAssociationType,scr:AgentPerson,0,unbounded,
scr:AgentAssociationType,scr:AgentPersonRole,0,unbounded,
scr:AgentAssociationType,scr:AgentAssociationAugmentationPoint,0,unbounded,
it:AgentType,it:AgentIdentification,0,unbounded,
it:AgentType,it:AgentQualityAssuranceIndicator,0,unbounded,
it:AgentType,it:AgentStatusCodeText,0,unbounded,
it:AgentType,it:AgentStatusText,0,unbounded,
it:AgentType,it:AgentAuthorizationIDCategory,0,unbounded,
it:AgentType,it:RoleOfParty,0,unbounded,
it:AgentType,it:AgentAugmentationPoint,0,unbounded,
scr:AircraftFlightPlanSummaryAssociationType,scr:FlightPlanSummary,0,unbounded,
scr:AircraftFlightPlanSummaryAssociationType,nc:Aircraft,0,unbounded,
scr:AircraftFlightPlanSummaryAssociationType,it:Carrier,0,unbounded,
scr:AircraftFlightPlanSummaryAssociationType,scr:AircraftFlightPlanSummaryAssociationAugmentationPoint,0,unbounded,
nc:AircraftType,nc:AircraftTailIdentification,0,unbounded,
nc:AircraftType,nc:AircraftMake,0,unbounded,A manufacturer of an aircraft.
nc:AircraftType,nc:AircraftModel,0,unbounded,A specific design or kind of aircraft made by a manufacturer.
nc:AircraftType,nc:AircraftStyle,0,unbounded,A style of an aircraft.
nc:AircraftType,nc:AircraftFuselageColor,0,unbounded,
nc:AircraftType,nc:AircraftWingColor,0,unbounded,
nc:AircraftType,nc:AircraftBaseAirport,0,unbounded,
nc:AircraftType,nc:AircraftAugmentationPoint,0,unbounded,
nc:AirportType,nc:AirportCodeDesignator,0,unbounded,
nc:AirportType,nc:AirportAugmentationPoint,0,unbounded,
em:AlarmConfirmationType,em:AlarmConfirmationMethodDescriptionText,0,unbounded,
em:AlarmConfirmationType,em:AlarmConfirmationCallPrivacyBypassPasscodeText,0,unbounded,
em:AlarmConfirmationType,em:AlarmConfirmationCallToPremisesIndicator,0,unbounded,
em:AlarmConfirmationType,em:AlarmConfirmationCallToPremisesResultsDescriptionText,0,unbounded,
em:AlarmConfirmationType,em:AlarmConfirmationAugmentationPoint,0,unbounded,
em:AlarmEventType,em:AlarmEventCategory,0,unbounded,
em:AlarmEventType,em:AlarmEventCallBackTelephoneNumber,0,unbounded,
em:AlarmEventType,em:AlarmEventLocationCategory,0,unbounded,
em:AlarmEventType,em:AlarmAudibleIndicator,0,unbounded,
em:AlarmEventType,em:AlarmEventDetailsText,0,unbounded,
em:AlarmEventType,em:AlarmEventRequestorReceiveDate,0,unbounded,
em:AlarmEventType,em:AlarmEventCallPrivacyBypassCodeText,0,unbounded,
em:AlarmEventType,em:AlarmEventCallToPremisesIndicator,0,unbounded,
em:AlarmEventType,em:AlarmEventPermit,0,unbounded,
em:AlarmEventType,em:AlarmEventResponseAction,0,unbounded,
em:AlarmEventType,em:AlarmEventDispatchAgency,0,unbounded,
em:AlarmEventType,em:AlarmEventAugmentationPoint,0,unbounded,
em:AlarmPermitType,em:PermitCategoryText,0,unbounded,
em:AlarmPermitType,em:PermitIdentification,0,unbounded,
em:AlarmPermitType,em:AlarmPermitAugmentationPoint,0,unbounded,
em:AlarmType,em:AlarmAudibleIndicator,0,unbounded,
em:AlarmType,em:AlarmAudibleDescriptionCode,0,unbounded,
em:AlarmType,em:AlarmCallBackTelephoneNumber,0,unbounded,
em:AlarmType,em:AlarmCategory,0,unbounded,
em:AlarmType,em:AlarmDetailsText,0,unbounded,
em:AlarmType,em:AlarmDispatchActivity,0,unbounded,
em:AlarmType,em:AlarmDispatchAgency,0,unbounded,
em:AlarmType,em:AlarmMonitoringServiceProvider,0,unbounded,
em:AlarmType,em:AlarmMonitoringServiceProviderReceiveDateTime,0,unbounded,
em:AlarmType,em:AlarmRequestedResponseActionDescriptionText,0,unbounded,
em:AlarmType,em:AlarmAugmentationPoint,0,unbounded,
edxl-cap:AlertAdapterType,cap:alert,0,unbounded,CAP Alert Message (version 1.1)
em:AlertAffectedLocationType,nc:PolygonCoordinate,0,unbounded,
em:AlertAffectedLocationType,em:Ceiling,0,unbounded,
em:AlertAffectedLocationType,em:AlertAffectedLocationAugmentationPoint,0,unbounded,
scr:AlertAugmentationType,scr:AlertReceivedDate,0,unbounded,
scr:AlertAugmentationType,scr:AlertCategoryClassification,0,unbounded,
em:AlertEventDetailsType,em:AlertEventDetailsAudienceDescriptionText,0,unbounded,
em:AlertEventDetailsType,em:AlertEventDetailsCategory,0,unbounded,
em:AlertEventDetailsType,em:AlertEventDetailsCertainty,0,unbounded,
em:AlertEventDetailsType,em:AlertEventDetailsDescriptionText,0,unbounded,
em:AlertEventDetailsType,em:AlertEventDetailsHeadlineText,0,unbounded,
em:AlertEventDetailsType,em:AlertEventDetailsInstructionsDescriptionText,0,unbounded,
em:AlertEventDetailsType,em:AlertEventDetailsOnsetDateTime,0,unbounded,
em:AlertEventDetailsType,em:AlertEventDetailsResponseRecommendation,0,unbounded,
em:AlertEventDetailsType,em:AlertEventDetailsSystemRecordID,0,unbounded,
em:AlertEventDetailsType,em:AlertEventDetailsUrgency,0,unbounded,
em:AlertEventDetailsType,em:AlertEventDetailsSeverityCode,0,unbounded,
em:AlertEventDetailsType,em:AlertEventDetailsAugmentationPoint,0,unbounded,
em:AlertIncidentAssociationType,em:Alert,0,unbounded,
em:AlertIncidentAssociationType,nc:Incident,0,unbounded,
em:AlertIncidentAssociationType,em:AlertIncidentAssociationAugmentationPoint,0,unbounded,
em:AlertSupplementaryDigitalResourceType,em:BinaryChecksumDigestID,0,unbounded,
em:AlertSupplementaryDigitalResourceType,em:AlertSupplementaryDigitalResourceAugmentationPoint,0,unbounded,
em:AlertType,em:AlertEffectiveDateTime,0,unbounded,
em:AlertType,em:AlertExpirationDateTime,0,unbounded,
em:AlertType,em:AlertHeadlineText,0,unbounded,
em:AlertType,em:AlertInstructionsDescriptionText,0,unbounded,
em:AlertType,em:AlertHandling,0,unbounded,
em:AlertType,em:AlertReasonText,0,unbounded,
em:AlertType,em:AlertAugmentationPoint,0,unbounded,
im:AlienAlertType,im:AlertWarningIndicator,0,unbounded,
im:AlienAlertType,scr:AlertEntryText,0,unbounded,
im:AlienAlertType,scr:AlertIdentification,0,unbounded,
im:AlienAlertType,im:AlertGeneratingOfficerBadgeIdentification,0,unbounded,
im:AlienAlertType,im:AlertClassCategoryText,0,unbounded,
im:AlienAlertType,scr:AlertEntryDate,0,unbounded,
im:AlienAlertType,scr:AlertCategoryClassificationCode,0,unbounded,
im:AlienAlertType,im:AlertDescriptionText,0,unbounded,
im:AlienAlertType,scr:AlertMedicalIndicator,0,unbounded,
im:AlienAlertType,im:AlienRole,0,unbounded,
im:AlienAlertType,im:AlienAlertAugmentationPoint,0,unbounded,
scr:AlienDeportationEscortReasonType,scr:EscortDescriptionText,0,unbounded,
scr:AlienDeportationEscortReasonType,scr:Escort,0,unbounded,
scr:AlienDeportationEscortReasonType,scr:AlienDeportationEscortReasonAugmentationPoint,0,unbounded,
scr:AlienDeportationType,im:DepartProofText,0,unbounded,
scr:AlienDeportationType,scr:ConsulateIndicator,0,unbounded,
scr:AlienDeportationType,scr:RemovalOrderDate,0,unbounded,
scr:AlienDeportationType,scr:VerifiedClaimedIndicator,0,unbounded,
scr:AlienDeportationType,scr:DeportAsArrivedIndicator,0,unbounded,
scr:AlienDeportationType,scr:LegalReferenceText,0,unbounded,
scr:AlienDeportationType,scr:StayActionText,0,unbounded,
scr:AlienDeportationType,scr:StayDecisionDate,0,unbounded,
scr:AlienDeportationType,scr:StayExpirationDate,0,unbounded,
